compound,condition,Top (A),Slope (B),"EC50 (C, µM)",Bottom (D),C CI lower (µM),C CI upper (µM),error
X1,t0,1.003,1.0872,0.073944,0.0823,0.060041,0.087847,
X1,+Condition t0,1.0439,1.1746,0.043009,0.1013,0.03777,0.048247,
X1,t_x,0.9915,1.0235,0.100386,0.0957,0.073987,0.126784,
X1,+Condition t_x,1.0997,1.3271,0.035175,0.0989,0.033269,0.037081,
X2,t0,0.9454,0.9861,0.422883,0.1111,0.397006,0.44876,
X2,+Condition t0,0.9883,0.9704,0.238122,0.104,0.198016,0.278228,
X2,t_x,0.9265,0.9623,0.632199,0.1132,0.563349,0.701049,
X2,+Condition t_x,1.0238,0.7683,0.384245,0.0883,0.151455,0.617036,
X3,t0,0.9142,0.8425,4.768109,0.1333,1.510056,8.026162,
X3,+Condition t0,0.8981,1.1135,3.724538,0.1558,2.254568,5.194509,
X3,t_x,0.8813,1.0466,7.663944,0.1716,5.461972,9.865915,
X3,+Condition t_x,0.9307,1.2433,3.754578,0.1703,3.215041,4.294115,
X4,t0,0.4941,1.3413,0.238357,0.2383,0.023118,0.453595,
X4,+Condition t0,0.7662,0.4857,0.064506,0.1555,-0.044754,0.173766,
X4,t_x,0.4776,1.1379,0.42854,0.2021,0.281366,0.575713,
X4,+Condition t_x,0.6475,1.1734,0.214557,0.2138,0.182664,0.246449,
X5,t0,0.9969,2.7801,0.120748,0.0741,0.114543,0.126952,
X5,+Condition t0,1.0648,3.0739,0.089913,0.0871,0.083459,0.096368,
X5,t_x,0.9926,3.0089,0.182817,0.0796,0.174732,0.190902,
X5,+Condition t_x,1.0998,3.217,0.069547,0.0774,0.063902,0.075192,
X6,t0,0.281,25.4124,1.608309,0.2851,-224940.423352,224943.639969,
X6,+Condition t0,0.2955,32.9546,12.903912,0.2822,9.125443,16.682381,
X6,t_x,0.9481,1.0291,0.505774,0.104,0.42929,0.582259,
X6,+Condition t_x,1.0445,1.1913,0.272155,0.1434,0.227828,0.316483,
X7,t0,0.0,0.0268,5601791789003.457,0.923,5601791789003.457,5601791789003.457,
X7,+Condition t0,0.2826,5.9368,0.004344,0.3193,-0.006517,0.015205,
X7,t_x,,,,,,,Optimal parameters not found: The maximum number of function evaluations is exceeded.
X7,+Condition t_x,0.2663,2.2823,0.021946,0.3284,-0.049775,0.093666,
